"name","mean.wt","mean.upf3","P.value","q.value","ratio.upf3.to.wt","comment"
"YJR152W",3.56086164302288,20.3522383869398,NA,NA,5.71553753761195,"significant by 2 fold difference"
"YMR017W",5.68278692120993,29.8319732744224,NA,NA,5.24953226084902,"significant by 2 fold difference"
"YDR369C",5.38813803105621,27.1260820570573,NA,NA,5.03440741508619,"significant by 2 fold difference"
"YFL050C",3.89449765921252,19.5582708659379,NA,NA,5.02202660712157,"significant by 2 fold difference"
"YBR296C",3.01889064304712,14.5281445170122,NA,NA,4.81241165541134,"significant by 2 fold difference"
"YKR104W",5.04751069643863,23.2601397663079,NA,NA,4.6082398166525,"significant by 2 fold difference"
"YNR068C",3.88544603026069,17.8766824302282,NA,NA,4.60093443352468,"significant by 2 fold difference"
"YIR031C",4.86358229992547,22.3149317005107,NA,NA,4.58816779986486,"significant by 2 fold difference"
"YER180C-A",4.67229633711538,20.6261941867061,"<0.000001","<0.000001",4.41457319880538,"significant by q value and 1.5 fold difference"
"YER180C",4.74036969907854,20.5599208216156,"<0.000001","<0.000001",4.33719775603412,"significant by q value and 1.5 fold difference"
"YPL171C",3.49416444797491,14.6861209935475,NA,NA,4.20304230445107,"significant by 2 fold difference"
"YIL163C",5.55014882910046,23.011794026584,NA,NA,4.14615801038143,"significant by 2 fold difference"
"YML095C",4.17525727977776,17.2635468453516,NA,NA,4.13472648235717,"significant by 2 fold difference"
"YJR108W",4.90032754455374,20.0472820957268,NA,NA,4.09100859349851,"significant by 2 fold difference"
"YML002W",5.14538921652225,20.5856304409551,NA,NA,4.00079169421294,"significant by 2 fold difference"
"YMR065W",2.67860413587138,10.6855654256461,NA,NA,3.98922904752776,"significant by 2 fold difference"
"YER187W",5.11460704479968,20.1635883081107,NA,NA,3.94235336781389,"significant by 2 fold difference"
"YKR103W",5.66767896683509,21.9683066842568,NA,NA,3.87606757771678,"significant by 2 fold difference"
"YLR125W",6.0628587164161,22.8850396991974,NA,NA,3.77462856543774,"significant by 2 fold difference"
"YER066W",5.35810083178752,20.1772999115185,NA,NA,3.76575591706196,"significant by 2 fold difference"
"YBR270C",3.61554635861284,13.6051218383588,NA,NA,3.76295046140098,"significant by 2 fold difference"
"YOR386W",5.6624905988676,21.1085777313182,NA,NA,3.72779033585319,"significant by 2 fold difference"
"YAR029W",5.82579892356875,21.4969640326472,NA,NA,3.68995983463822,"significant by 2 fold difference"
"YCR063W",3.62649136215165,13.2614271547889,NA,NA,3.656820279015,"significant by 2 fold difference"
"YCR102C",9.95033311862256,36.3689712554698,NA,NA,3.65505062211469,"significant by 2 fold difference"
"YOL043C",6.07743647079794,21.9078747256975,NA,NA,3.60478876759383,"significant by 2 fold difference"
"YLR081W",3.77406071195789,13.3370904476413,NA,NA,3.53388338597296,"significant by 2 fold difference"
"YCR020C",7.9190312331632,27.8544319265326,NA,NA,3.51740397359265,"significant by 2 fold difference"
"YOR358W",5.80071183315793,20.2019824849133,NA,NA,3.4826730004816,"significant by 2 fold difference"
"YEL048C",5.24010076333615,18.196831652596,"<0.000001","<0.000001",3.47261101922224,"significant by q value and 1.5 fold difference"
"YDR242W",6.69471621018437,22.6042095741656,NA,NA,3.3764253576244,"significant by 2 fold difference"
"YDR125C",3.54521369173796,11.8703847597097,NA,NA,3.34828469927593,"significant by 2 fold difference"
"YKL121W",5.3959134977854,17.9651461343108,"<0.000001","<0.000001",3.32939846824529,"significant by q value and 1.5 fold difference"
"YIL006W",3.2813865555683,10.8450892905708,NA,NA,3.30503252418322,"significant by 2 fold difference"
